,State,County,Base Estimate,2020,2021,2022
450, Georgia,Glascock,2882,2894,2906.0,2939.0
451, Georgia,Glynn,84497,84471,84705.0,85079.0
452, Georgia,Gordon,57543,57716,58253.0,58954.0
453, Georgia,Grady,26237,26222,25879.0,26008.0
454, Georgia,Greene,18907,19021,19553.0,20139.0
455, Georgia,Gwinnett,957027,958005,965145.0,975353.0
456, Georgia,Habersham,46033,46138,46740.0,47475.0
457, Georgia,Hall,203166,203735,207393.0,212692.0
458, Georgia,Hancock,8733,8708,8664.0,8387.0
459, Georgia,Haralson,29920,30037,30579.0,31337.0
460, Georgia,Harris,34669,34896,35605.0,36276.0
461, Georgia,Hart,25824,25871,26340.0,26909.0
462, Georgia,Heard,11414,11448,11529.0,11725.0
463, Georgia,Henry,240719,241848,245023.0,248364.0
464, Georgia,Houston,163641,164343,167156.0,169631.0
465, Georgia,Irwin,9667,9650,9375.0,9126.0
466, Georgia,Jackson,75904,76717,80317.0,83936.0
467, Georgia,Jasper,14595,14666,15259.0,15951.0
468, Georgia,Jeff,14778,14799,14848.0,14889.0
469, Georgia,Jefferson,15714,15678,15494.0,15314.0
470, Georgia,Jenkins,8678,8666,8776.0,8689.0
471, Georgia,Johnson,9192,9186,9034.0,9242.0
472, Georgia,Jones,28351,28397,28409.0,28472.0
473, Georgia,Lamar,18500,18551,18684.0,19467.0
474, Georgia,Lanier,9880,9926,10052.0,10171.0
475, Georgia,Laurens,49581,49544,49527.0,49660.0
476, Georgia,Lee,33162,33215,33194.0,33642.0
477, Georgia,Liberty,65274,65317,66844.0,68030.0
478, Georgia,Lincoln,7688,7701,7750.0,7841.0
479, Georgia,Long,16158,16269,17089.0,18348.0
480, Georgia,Lowndes,118249,118415,118914.0,119739.0
481, Georgia,Lumpkin,33487,33631,32890.0,34796.0
482, Georgia,McDuffie,21625,21603,21636.0,21713.0
483, Georgia,McIntosh,10975,10987,11051.0,11180.0
484, Georgia,Macon,12081,12021,11832.0,11765.0
485, Georgia,Madison,30123,30269,30883.0,31473.0
486, Georgia,Marion,7506,7530,7426.0,7449.0
487, Georgia,Meriwether,20610,20606,20715.0,20845.0
488, Georgia,Miller,5997,5988,5886.0,5807.0
489, Georgia,Mitchell,21762,21668,21266.0,21116.0
490, Georgia,Monroe,27955,28055,28729.0,29427.0
491, Georgia,Montgomery,8610,8574,8654.0,8655.0
492, Georgia,Morgan,20096,20198,20654.0,21031.0
493, Georgia,Murray,39982,40012,40032.0,40472.0
494, Georgia,Muscogee,206922,206998,205024.0,202616.0
495, Georgia,Newton,112491,112843,115318.0,117621.0
496, Georgia,Oconee,41799,42013,43025.0,43588.0
497, Georgia,Oglethorpe,14824,14867,15142.0,15469.0
498, Georgia,Paulding,168660,169570,173921.0,178421.0
499, Georgia,Peach,27989,28040,28245.0,28562.0
500, Georgia,Pickens,33215,33339,33990.0,34826.0
501, Georgia,Pierce,19716,19746,19975.0,20168.0
