,CountyName,StateName,Fatals,lat,long
414,CHARLES MIX ,South Dakota,4,43.2257871,-98.6162758
415,CHARLESTON ,South Carolina,273,32.7884363,-79.9399309
416,CHARLEVOIX ,Michigan,12,45.202075,-84.9676387
417,CHARLOTTE ,Florida,98,26.9761707,-82.0906448
418,CHARLTON ,Georgia,8,-36.26861,143.3518194
419,CHASE ,Kansas,9,38.355011,-98.3495111
420,CHASE ,Nebraska,2,40.5217576,-101.6931758
421,CHATHAM ,Georgia,130,32.1004833,-81.1542789
422,CHATHAM ,North Carolina,49,42.4057219,-82.1853837
423,CHATTAHOOCHEE ,Georgia,7,33.8084389,-84.4818749
424,CHATTOOGA ,Georgia,23,34.4620931,-85.3660518
425,CHAUTAUQUA ,Kansas,5,37.146335,-96.2656966
426,CHAUTAUQUA ,New York,44,42.209633,-79.4663814
427,CHAVES ,New Mexico,40,33.2993426,-104.5133481
428,CHEATHAM ,Tennessee,33,35.0122969,-85.2755121
429,CHEBOYGAN ,Michigan,11,45.646956,-84.47448
430,CHEMUNG ,New York,28,42.0084073,-76.623736
431,CHENANGO ,New York,23,42.197622,-75.8979428
432,CHEROKEE ,Alabama,24,34.1142554,-85.6004514
433,CHEROKEE ,Georgia,62,34.1681526,-84.570765
434,CHEROKEE ,Iowa,8,42.7499398,-95.5548229
435,CHEROKEE ,Kansas,15,37.1718068,-94.8482069
436,CHEROKEE ,North Carolina,20,35.4766377,-83.3189781
437,CHEROKEE ,Oklahoma,33,36.7544746,-98.3567403
438,CHEROKEE ,South Carolina,63,35.0498442,-81.8909376
439,CHEROKEE ,Texas,53,31.8390826,-95.1791849
440,CHERRY ,Nebraska,6,42.5560174,-101.1503042
441,CHESHIRE ,New Hampshire,22,41.4989861,-72.900658
442,CHESTER ,Pennsylvania,133,39.849557,-75.3557458
443,CHESTER ,South Carolina,42,34.7048613,-81.2142561
444,CHESTER ,Tennessee,15,35.9678411,-87.1222286
445,CHESTERFIELD ,South Carolina,47,34.735989,-80.0881194
446,CHEYENNE ,Colorado,6,38.8307233,-102.6177692
447,CHEYENNE ,Kansas,5,39.1766771,-98.6389607
448,CHEYENNE ,Nebraska,7,41.2053619,-102.9796713
449,CHICKASAW ,Iowa,5,43.0338635,-92.4951821
450,CHICKASAW ,Mississippi,16,31.8426665,-92.207359
451,CHICOT ,Arkansas,10,33.2536665,-91.3026986
452,CHILDRESS ,Texas,7,34.4258151,-100.205399
453,CHILTON ,Alabama,45,31.7821003,-87.8441695
454,CHIPPEWA ,Michigan,16,46.3111149,-84.6428564
455,CHIPPEWA ,Minnesota,8,45.027661,-95.5314914
456,CHISAGO ,Minnesota,28,45.4758877,-92.8849411
457,CHOCTAW ,Alabama,13,31.9908095,-88.2821326
458,CHOCTAW ,Mississippi,11,33.5578928,-90.8131531
459,CHOCTAW ,Oklahoma,20,35.4975654,-97.2689263
460,CHOUTEAU ,Montana,7,43.4088984,23.2203193
461,CHOWAN ,North Carolina,9,36.266545,-76.6677262
462,CHRISTIAN ,Illinois,25,39.5212598,-89.2829783
463,CHRISTIAN ,Kentucky,50,36.8778665,-87.5014545
464,CHRISTIAN ,Missouri,38,36.9586087,-93.1692896
